dataset,fold,model,n_train,n_test,RMSE,MAE,R2
Rossmann,1,RandomForest,157,157,954.8368019,712.0042523,0.486758382
Rossmann,1,kNN,157,157,943.2819718,745.3054017,0.499105071
Rossmann,2,RandomForest,314,157,1369.775036,841.3117038,0.567506233
Rossmann,2,kNN,314,157,1445.59313,907.1774158,0.518303478
Rossmann,3,RandomForest,471,157,756.6285719,514.4837729,0.757128541
Rossmann,3,kNN,471,157,735.4528904,516.3480125,0.770532742
Rossmann,4,RandomForest,628,157,1109.427759,713.051863,0.725481453
Rossmann,4,kNN,628,157,1173.920202,713.7374363,0.692637565
Rossmann,5,RandomForest,785,157,825.9878965,536.2110572,0.747146648
Rossmann,5,kNN,785,157,844.0519935,584.7487743,0.735966065
Retail II,1,RandomForest,104,100,9808.441752,7619.360309,0.12412575
Retail II,1,kNN,104,100,9652.697736,7621.881179,0.151720176
Retail II,2,RandomForest,204,100,24358.7758,17338.4193,-0.085337755
Retail II,2,kNN,204,100,27988.63299,20496.66805,-0.432904906
Retail II,3,RandomForest,304,100,22909.90374,12229.34967,0.117975108
Retail II,3,kNN,304,100,22615.72875,11821.39434,0.140480991
Retail II,4,RandomForest,404,100,11138.66291,8058.940132,0.294754688
Retail II,4,kNN,404,100,11371.81661,8420.353472,0.264921399
Retail II,5,RandomForest,504,100,23701.08209,15143.70885,0.14278284
Retail II,5,kNN,504,100,21516.08862,13146.07921,0.293550445
